Issue key,Issue id,Parent id,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint
NCIS-148,245616,,,,,,,,
NCIS-149,245617,,,,,,,,
NCIS-150,245902,,,,,,,,
NCIS-151,245903,,,,,,,,
NCIS-152,245906,,,,,,,,
NCIS-153,330842,,NCIS Sprint 3,,,,,,
NCIS-154,330843,,,,,,,,
NCIS-155,330844,330843,,,,,,,
NCIS-156,330845,330843,,,,,,,
NCIS-157,330847,330843,,,,,,,
NCIS-158,330849,330843,,,,,,,
NCIS-159,330850,330843,,,,,,,
NCIS-160,330851,330843,,,,,,,
NCIS-161,330852,330843,,,,,,,
NCIS-162,330853,330843,,,,,,,
NCIS-163,330854,,,,,,,,
NCIS-164,330856,,NCIS Sprint 3,,,,,,
NCIS-165,330857,,,,,,,,
NCIS-166,331188,,,,,,,,
NCIS-167,331294,,,,,,,,
NCIS-168,331302,,NCIS Sprint 3,,,,,,
NCIS-169,331303,,,,,,,,
NCIS-170,331446,,NCIS Sprint 3,,,,,,
NCIS-171,331833,,NCIS Sprint 3,,,,,,
NCIS-172,332348,,,,,,,,
NCIS-173,332240,,,,,,,,
NCIS-174,332487,,NCIS Sprint 3,,,,,,
NCIS-175,332575,,NCIS Sprint 3,,,,,,
NCIS-176,334140,,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-177,334447,,NCIS Sprint 3,,,,,,
NCIS-178,390670,,NCIS Sprint 3,,,,,,
NCIS-179,407146,,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-180,407147,,,,,,,,
NCIS-181,407342,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-182,407343,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-183,407344,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-184,407346,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-185,407348,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-186,407349,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-187,407352,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-188,407354,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-189,407355,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-190,407356,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-191,407357,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-192,407358,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-193,407359,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-194,407360,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-195,407361,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-196,407362,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-197,407363,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-198,407364,334140,NCIS Sprint 14,NCIS Sprint 15,,,,,
NCIS-199,407365,407146,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-200,407366,407146,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-201,407367,407146,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-202,407368,407146,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
NCIS-203,407369,407146,NCIS Sprint 11,NCIS Sprint 12,NCIS Sprint 14,NCIS Sprint 15,,,
